text,labels
M6.0 Earthquake is California Bay Area’s Strongest Since Loma Prieta http see more http,7
The extent of my parents helping me move to San Francisco has been them looking up Earthquake videos and warning me.,5
M Q M introduced service in politics of Pakistan and its charity wing K K F always in front line to help needy person. …,4
Salvation Army Responds to the Napa California Earthquake : The Salvation Army http,4
"M 2.8, Alaska Peninsula: September 27, 2013 01:12:31 GMT http",7
"""earthquakes , tsunamis &amp; now wildfires. more than 10 thousand people loses their homes"" Pray For Chile :'(( http",2
Jawbone UP data shows how many woke up during the Napa earthquake: http http,7
"3.6 magnitude  28 mi from Alpine, CA, United States.http://t.co/ENsI4Qd1hu",7
Pakistan earthquake: we're mobilizing our contingency stocks in Hyderabad to help with immediate needs http,4
A Little Respect &gt; http,6
"Dr.HafeezUrRehman,President Al Khidmat reached Awaraan with RescueTeam,the most quake-affected Area&amp; moving more deep in town Balochistan",7
This drone captured the aftermath of the 6.0 Napa earthquake. Watch the full video here: http http,7
Many pets still on the run from Napa earthquake http,7
"【#USGS Breaking】 M 1.4, 43km WNW of Gabbs, Nevada http Past Hour",7
Earthquake. Tsunami.  Everything at the same time. Pray For Chile,6
yare UPDATE 1-California wine country quake losses seen in the billions - Reuters: CNNUPDATE 1-California... http yare,3
"California legislature passes bill to create statewide earthquake warning system, yet it must be funded. Crowdfund! http",5
"sorry guys, i sent my Rhydon off to Chile. he's the one who used earthquake...",8
ATTENTION ALL!!For those attending this Thursdays Raider game  will be collecting donations for  victims,4
"What a sight - with Pope John Paul II statute at  in Santiago, Chile (photo: Robert Kinkley). http",8
Wow I get a twitter and two amazing things happen Dr. Who series 8 premiers and a 6.0 Earthquake happens in California!,7
"USGS reports a M1.65  4km SW of Fontana, California on 8/26/14 @ 20:47:41 UTC http",7
RIGHT NOW: Thousands of people urged evacuate inland from coastal areas in Chile after Strong earthquake.,5
"Colorado USA Colorado Springs » http   890 Dozens injured, 6 critically, after strong earthquak…",0
Napa Valley earthquake causes a billion dollars in damage and thousands without power:   LOS ANGELE... http,3
The San Francisco Earthquake In Wine Country Injured Dozens Of People - ... http  Bay Area San Francisco Bay Tyler Paradise,0
"¤ USA http 383 earthquake Three Critically Injured, Almost 90 Treated At Napa Hospital Following 6.0 ... gi…",0
Find out how you can help those in need after the 8.2-magnitude earthquake in Chile Herbalfe Family Foundation http,4
Sending our thoughts to all in Napa  region affected by  from friends in  South Australia,6
After 1000s of innocents killed in KPK there shud be popular armed action against Tbn:CONCEPT OF BADAL.But why still not?#Pakistan,0
"""Because it feels like something inside of me is missing or broken.""",8
Such a large event :( 4/01/2014 -- 8.2M Earthquake Strikes Chile -- Tsunami warnings were issued: http,5
House candidate James Hinton: Federal Reserve must help rebuild Napa-# Sonoma-# North Bay c 0% 30-year loans TODAY http,4
Magnitude-6.0 quake in heart of California's wine country injures dozens ... http,0
Pray For Chile 8.2 magnitude earthquake can create Tsunami like situation.danger of aftershocks has passed.Coastal areas are still in danger.,5
The Unholy Trinity &amp; Rachel Berry,8
"Pakistan Animation of tsunami from northern Chile earthquake, Hawaii under advisory - Washington Post (blog):... http",7
Sony targeted by cyber criminals; California quake highlights insurance risks: Sony is the latest big name cyb... http,7
JUST IN: Gov. Brown declares state of emergency in California due to South Napa  http,5
Unconfirmed reports that militants have fired rockets at a helicopter flying over region struck by a massive earthquake,8
Video goes dark after the 1:20 mark but watch 60 seconds of normal life transform at the 1 minute mark.  http Iquique,8
"U S A http #  Powerful 8.2-magnitude   Chile    5,    …",0
Atlantis theories welcomed.   Here's the island that rose from the sea after Pakistan earthquake. http,7
"03 April 2014 Magnitude 7.6 earthquake struk offshore of Tarapaca,Chile, South America,Location 20.43 S ; 70.30 W http",7
A white man's collateral damage is a brown man's holocaust   Africa India Iraq Afghanistan Syria Pakistan Libya,8
"Skaters Make Best of Napa Earthquake by Shredding Buckled Streets: To quote Jurassic Park's esteemed, fictional chaos-theorist Ian Ma...",8
Saddened by powerful 7.7 magn.earthquake that killed 250 people in Pakistan. Condolences for victims&amp;families and hope for a quick recovery,0
Another earthquake in Chile? I am so sorry Chile! :( My prayers are with you. That is just awful to think about and makes…,6
Earthquakes in California and Peru does the mega-earthquake is coming? http Spanish,8
Pray For South Korea Pray For Sinabung Pray For Nigeria Pray For Chile Pray For Flores Pray For M H370 and we're only on the 4th mo…,6
Chile Earthquake Prompts Break Out From Women's Prison - ABC News http  via,1
Just how many people were shaken awake by the Napa earthquake? http http,7
"Oakland Raiders to Donate $50,000 for Earthquake Relief in Napa http http",4
Pakistan Government not letting UN agencies officially respond to massive earthquake in Balochistan,7
"【#USGS  M 2.5, Southern California http Pasthour",6
"Magnitude 7 quake strikes off coast of Peru, no  alert, some damage to homes reported http",7
Lodi Wine Industry Reaches Out To Help Napa Wineries Affected By Earthquake « CBS Sacramento http,4
Interesting graph and data analysis by Jawbone - how the Napa earthquake affected sleep http,7
We now have more than 100 photos of  damage from Napa: http Tons of coverage on  htt…,7
Napa law enforcement confirms child critically injured in today's earthquake has been flown to Oakland Children's Hosp…,0
"California Earthquake Destroys Historic Buildings in Napa, Injures Many : Home : Realty Today: http",3
"Team P Y A made deliveries to Earthquake hit Bela, Sri Malaar and Awaran. Total destruction reported and zero aid accessed. Donate P Y A",3
"""You came on too late... To do a thing"" (8)",8
"Napa earthquake: Four aftershocks early Tuesday, strongest at 3.9 http",7
Last night a magnitude 8.2 Earthquake hit off the coast of Chile   immediately after a Coronal Hole opened up on the earth-facing disc.,7
California assesses the damage after powerful  hits Napa http,3
6.0-magnitude earthquake hits Northern California via  http,7
"Balochistan quake area struck again | AJE's Kamal Hyder: ""We're hearing that several districts have been affected"" http",3
"""@AwtfJ: ""The Chile Earthquake is not a bold new product from Dairy Queen"""" Lmaooooo",8
Napa teen badly injured by a collapsed chimney is improving. http,0
Skaters in California turn quake-damaged road into skate ramp http,8
What Caused California’s Napa Valley Earthquake? Faults Explained: http    C A Qua…,7
Napa earthquake hastens calls for warning system (Seattle Times: Business and Technology) http,5
"You know what's fucked up? People saying ""I didn't feel the Earthquake at all."" like they were deprived of some joy.",7
Here is a graphic showing tsunami energy generated from yesterdays 8.2 Chile earthquake http,7
"Thoughts&amp; prayers going out to Chile !!!Praying for the people &amp;children , I have travel plans there this summer. Hoping for a better day!",6
Earthquake Preparedness Month. Be  Ready! Chile Earthquake  http,6
Tsunami alert after 8.2 quake strikes off Chile - BBC News: BBC NewsTsunami alert after 8.2 quake strikes off ChileBBC NewsA quake of...,7
And my Prayers also goes to Chile Pray For Chile folded hands,6
The latest on damaging earthquake in California http,3
Earthquake Births New Island off Pakistan : Natural Hazards http N A S A,7
A new island was created near Pakistan after an earthquake semalam! This is awesome but at the same time freaky ;( Pakistan,7
Strongest quake in 25 years strikes California's Bay Area http,7
How did the Napa earthquake affect sleep? http http,7
California earthquake: Was it the Big One? Not quite http,7
BOE announces emergency tax relief for business owners affected by South Napa Earthquake: Business owners and... http,7
Pops just sent me a picture of all the wine barrels that spilled during the California earthquake.  Dude really knows how to ruin my day.,3
California rocked awake during region's largest quake in 25 years http,7
Ross Stein with  interview discussing   California  http,7
Great news California. Lot of earthquake experts on my flight to San Francisco.,8
"An earthquake in LA, an earthquake in Yellowstone, an earthquake in Chile, all within the last couple days?  http",7
"Earthquake of M 4.7, Owen Fracture Zone Region http",7
Huichacumbia en la          http,8
"California USA Richmond » http  S F Gate 259 Napa damaged, more than 100 hurt in Northern California quake SFGate nicoleew…",0
Please dnt forget to Pray For Chile,6
"California quake: The one before the 'Big One?': Relax. This quake wasn't a sign that the dreaded ""Big One"" is... http",8
Insurance San Francisco Bay Area assessing damage after large quake – CBS News http,7
Mood for love -,8
Pray For Chile let's all say a little prayer tonight and hug our loved ones,6
Earthquake last night in California. So was the Seismologist correct?,7
"First time I've ever said ""aw, poor friend in napa""",6
Listage: Best Food Cinema Gems; Costly Napa Earthquake http,7
"Cal land west of Napa moved 2"" NNW   Update on the Magnitude 6 South Napa Earthquake of August 24, 2014 http",7
Jawbone reveals how many Up users were woken up by the Napa earthquake http,7
White House: U.S. 'stands ready to help' Chile after earthquake: The U.S. government is prepared to ... http,7
¤ USA http 409 Earthquake Northern California Struck by 6.0 Magnitude Earthquake news24lhot Illinois USA …,7
"【#USGS Breaking】 M 1.6, 4km SW of Yucca Valley, California http Past Hour",7
"Earthquake of M 3.1 - 7km NW of The Geysers, California http",7
California wine country quake losses seen in the billions: A strong earthquake that jolted residents of Califo... http,3
Napa earthquake could send tremors through Oregon's wine country http,7
"Tsk tsk ""@SFGate: Napaquake damages reveal city officials did not enforce seismic upgrades for all buildings. http",3
Robin_alvarez01 Boy Hurt in California Quake: 'I Should Be Dead': Boy badly hurt by bricks in California quake says lucky to be aliv...,0
California shaken by aftershocks while earthquake recovery ongoing http,7
Pray For Chile Praying is not going to do shit. How about actually doing something for Chile? Donating perhaps?,4
"Floods, Target Killing and now massive Earthquake. Yet the people of Pakistan are searching for a Pakistan Idol. Sa…",8
"Georgia USA Macon » http   733 Scores of aftershocks from Napa earthquake felt, more on the w…",7
"Unfortunately,if we don't want to unite in love,God will make us unite in pain...#PrayForChile",6
"Pray For Chile I beg, 2nd quake 2 dismantle their country's legs, nobody dead &amp; that's a Holy bless, that seabeds are not steads for the dead",6
Chile Hit By Second Powerful Earthquake - A 7.6-magnitude quake triggers landslides and prompts a new round of eva... http,7
Prayers to all affected by   this morning http,6
ML 4.0 SOUTHERN IRAN http Tomohon Kota. Com,7
"Strong 6.1 Earthquake Rocks San Francisco Bay Area, Injures 87+, Significant Damage In Napa  http",0
Take care everyone... Good Bam... Praying for some good news tomorrow hopefully... Pray For South Korea Pray For Indonesia Pray For Chile,6
"6.8 - 96km NNE of Awaran, Pakistan http PLEASE STAY SAFE,BE CAREFUL OF AFTERSHOCKS,",5
→ USA http → California Hit With Earthquake Of 6.0 Magnitude USA → (AP) — An earthquake with a preliminary magnitude of 6…,7
"3 critically injured, 87 treated at hospital after 6.0 magnitude earthquake in California http",0
"Magnitude 3.1 Earthquake in Sweetwater County, southwest Wyoming. http",7
"California earthquake aftermath: Buildings destroyed, over 100 injured (VIDEO) http",0
Dramatic Photos From The Earthquake In Northern California http,7
i love his hair so muuch preicous bby lion,8
Quake is area's biggest in 25 years: The California quake has people asking: Are we seeing more than usual? An... http,7
Mb 4.6 - Pakistan (354) 2013-09-28 19:28:02 UTC  Alert http,7
"Napaquake damage figure for homes, businesses: $300 million, per  http via",3
California USA El Cajon http  BREAKING NEWS 67 earthquake Northern California braces for aftersh…,7
"(@ LIF - WEEK, Lima fashion week w/ 26 others) http",8
USA » NEWS » http HOT NEWS 132 earthquake Even buildings with seismic retrofits damaged in Napa earthquake  US…,3
def better than that Chile earthquake. Ready 4  “@heyitsrjsmith: Climbed a glacier yesterday and I still can't believe it.,8
"ppl shd come out n strike against the raise in Petroleum &amp; electricity prices,#PMLN is just destroyin the nation jst to foll…",8
Northern California earthquake: Blue-collar Vallejo hit hard - SFGate http via,8
Shelter open in Napa - Crosswalk Community Church 2590 1st. St in Napa.,4
"Cracked wine casks, damaged historical  buildings and coffee shops. This Napa earthquake is the biggest first world disaster …",3
Earthquake rattles Northern California http,7
"Following a reported 6.0 earthquake in Napa, California http",7
What caused Sunday’s earthquake? -- Answers About California Earthquake http http,7
Napa Valley Vintners Still Assessing Damage From Earthquake http,3
"""@bgittleson: This photo is very California.   http might as well make the best of it…",8
MT  NOAA's tsunami forecast map.   http,7
Sunday's California quake is the strongest non-Alaska temblor to hit the U.S. so far this year. http,7
"Mis oraciones para el pueblo chileno ""@YourAnonNews: Update: 2 deaths reported following earthquake off the coast of Chile.",0
"Pakistan - Aid agency  is planning to help 10,000 people with clean  improved sanitation, mosquito nets",4
Punjabi DCO of D G Khan forcibly removed d camp conducted by Baloch student 4 collecting fund 4 Quake affectees of Ba…,2
Deadly earthquake in Chile sparks tsunami advisory overnight: http,7
All my thoughts and wishes go out to all my friends and family in Napa after the devastating earthquake.,6
"【#USGS  M 1.2, Southern California: September 30, 2013 15:35:07 GMT http",7
SEE IT: Diners panic as magnitude-8.2 earthquake rocks Chile http,7
Forbes China Rich Lister’s Winery In Napa Valley Avoids Earthquake Damage http,7
Via  Breaking: Earthquake on Chile’ Coast – Savvy Stews Liveblog http,7
Earthquake Pakistan's National Institute of Oceanography say island a temporary thing It may disappear next monsoon http,7
6 deaths officially reported now from last night's  in northern Chile,0
The California quake cost Bay Area residents 2 million hours of sleep—at least: http http,7
"The immensity of destruction.. “The Crisis in Haiti: An Assessment,” Earthquake Cab Converg Peacebuilding http",7
"I know that feel, bro :'(",8
"2.0 magnitude  83km N of Manley Hot Springs, Alaska.http://t.co/oxUj6OLIoP",7
My heart and prayer goes out to people livin Chile. Just hang in there. Pray For Chile,6
"Two teenage girls killed,  suspected http Pakistan”",8
"At least 172 people have been injured in the 6.1 Napa Quake, per Walt Mickens, President &amp; CEO of Queen of the Valley …",0
West of our country hit by a massive Earth Quake and people of the Islamic Republic of Pakistan's prioritize to attend a C…,7
"Officials in Napa, California, say they are still assessing the damage caused by yesterday's  http",3
Innovation Calypso Technology said that the Australian Securities Exchange (ASX) has cleared its fi... http Pakistan,8
The Guardian Angels have arrived to help keep an eye on things in downtown Napa.   http,4
Chile earthquake: At least 4 aftershocks of magnitude 5.0 and higher have been reported. http,7
"Chile's magnitude 8.2 earthquake wasn't the 'Big One,' geologists warn http",7
"USGS reports a M1.5  7km SW of Napa, California on 8/26/14 @ 19:12:28 UTC http",7
"California earthquake aftermath: Buildings destroyed, over 100 injured:   California earthquake... http Kabari World",0
"BREAKING: California wine country rocked by 6.0 quake, dozens hurt - Reuters: ReutersCalifo... http Khaatumo Khatumo",0
"【#USGS Breaking】 M 1.9, 77km SW of Manley Hot Springs, Alaska http Past Hour",7
Chile Earthquake: Strict Building Rules May Keep Death Toll Low: Strict building regulations enforced due to C... http,7
N A S A Releases Pictures of Pakistan “MUD Island” Formed by Earthquake.  http,7
Zionist US supplies Israel with WMD for Terrorism Israel Gaza Palestine U S A Ferguson U K U S   http,8
"A 1.5 magnitude earthquake occurred 4.97mi NE of North Tustin, California. Details: http Map: http",7
Ch. Nisar: 1000 Army troops on ground for relief efforts in Earthquake hit areas,7
8.2-magnitude earthquake that hit off coast of northern Chile. I hope the victims are given patience. Pray For Chile,6
USA » NEWS » http HOT NEWS 65 Earthquake California Hit With Earthquake Of 6.0 Magnitude Earthquake USA…,7
My prayers go to those who got injured! thankful my god daughter is okayfolded hands,6
UPDATE: Earthquake rocks northern California http,7
Earthquake - death toll spikes to 307 in Awaran &amp; Kech areas of Balochistan - worst affected.,0
Someone asked how they could help the Pakistan# earthquake survivors. This is a good charity organization that I... http,4
Tsunami warning lifted from Antofagasta to Valparaíso. Chileearthquake Chile,5
Estudiando ando ando. No molestar booksopen bookpencil (@ Home Sweet Home) http http,8
Here is a look at Tsunami energy map from the Chilean Earthquake. Most energy aimed to the west/southwest.  http,7
"South Napa Quake causes substantial damage, injuries http",0
Jawbone knows how many of its users were roused by the Napa earthquake http &lt; mmm data analytics,7
8.2 earthquake in Chile... I'm in total (after)shock.,7
☭   Footage of the latest 7.8 earthquake that just hit Chile from inside a shopping mall. . http …,7
Chile: Impact Summary Iquique Earthquake http,7
Chairman  is in the Earthquake region of Awaran from Day First. Relief4 Balochistan http,7
Our heartfelt wishes are for the people in California that   experienced the earthquake. Creatively Yours Custom... http,6
Photo shared by  shows damaged roads being used by skateboarders after California earthquake http,3
"Raiders will donate $50,000 to help recovery efforts from the Napa earthquake. It is the team’s training camp home.",4
"""Jawbone UP Data Shows How Many Woke Up During the Napa Earthquake"" http",7
VIDEO: Strongest quake in 25 years strikes Northern California http,7
See how many Bay Area sleepers woke up from the Napa earthquake. http http,3
